Time,Source,Destination,Protocol,Length,Src port,Dest port,Target
21:06.3,192.168.122.165,192.168.122.190,TCP,74,52472,80,1
21:06.3,192.168.122.165,192.168.122.190,TCP,74,52474,80,1
21:06.4,192.168.122.165,192.168.122.190,TCP,74,52476,80,1
21:06.4,192.168.122.165,192.168.122.190,TCP,74,52478,80,1
21:06.4,192.168.122.165,192.168.122.190,TCP,74,52480,80,1
21:06.4,192.168.122.165,192.168.122.190,TCP,74,52482,80,1
21:06.6,192.168.122.46,192.168.122.190,TCP,66,49741,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60649,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60650,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60651,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60652,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60653,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60654,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60655,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60656,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60657,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60658,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60659,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60660,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60661,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60662,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60663,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60664,80,1
21:06.6,192.168.122.46,192.168.122.190,TCP,66,49742,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60665,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60666,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60667,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60668,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60669,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60670,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60671,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60672,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60673,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60674,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60675,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60676,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60677,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60678,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60679,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60680,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60681,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60682,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60683,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60684,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60685,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60686,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60687,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60688,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60689,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60690,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60691,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60692,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60693,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60694,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60695,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60696,80,1
21:06.6,192.168.122.34,192.168.122.190,TCP,66,60697,80,1
